"No.","Time","Source","Destination","Protocol","Length","Info"
"677","27.096779","162.125.4.19","10.110.30.14","TCP","1440","443  >  59336 [PSH, ACK] Seq=181953 Ack=908 Win=66560 Len=1374 TSval=2972565052 TSecr=976412153"
"713","27.102950","162.125.4.19","10.110.30.14","TCP","1440","443  >  59336 [ACK] Seq=203937 Ack=908 Win=66560 Len=1374 TSval=2972565057 TSecr=976412155"
"2152","116.091048","17.248.254.47","10.110.30.14","TCP","1440","443  >  59340 [PSH, ACK] Seq=177060 Ack=2657 Win=64128 Len=1374 TSval=405588526 TSecr=976500702"
"2321","116.302148","17.248.185.230","10.110.30.14","TCP","1414","[TCP Previous segment not captured] 443  >  59341 [PSH, ACK] Seq=2749 Ack=518 Win=64768 Len=1348 TSval=3662669876 TSecr=976500853"
"3620","192.915358","17.253.125.201","10.110.30.14","HTTP","576","[TCP Previous segment not captured] Continuation"
"3813","202.585855","142.250.72.100","10.110.30.14","TCP","1440","443  >  59346 [ACK] Seq=19543 Ack=2251 Win=71424 Len=1374 TSval=2445662174 TSecr=976586690"
"3913","202.862322","3.218.170.225","10.110.30.14","TCP","1321","[TCP Previous segment not captured] 443  >  59347 [PSH, ACK] Seq=6871 Ack=518 Win=28160 Len=1255 TSval=1407479172 TSecr=976586956"
"4181","204.268089","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=107578 Ack=59728 Win=123136 Len=1374 TSval=1407480578 TSecr=976588318"
"4324","204.622137","3.218.170.225","10.110.30.14","TCP","1440","[TCP Fast Retransmission] 443  >  59347 [ACK] Seq=203758 Ack=59728 Win=123136 Len=1374 TSval=1407480932 TSecr=976588655"
"4456","205.192014","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=306808 Ack=59728 Win=123136 Len=1374 TSval=1407481502 TSecr=976589204"
"4525","205.398709","3.218.170.225","10.110.30.14","TCP","1440","[TCP Previous segment not captured] 443  >  59347 [ACK] Seq=360394 Ack=59728 Win=123136 Len=1374 TSval=1407481708 TSecr=976589402"
"4655","205.916114","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=451078 Ack=59728 Win=123136 Len=1374 TSval=1407482226 TSecr=976589902"
"4676","206.033366","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=466192 Ack=59728 Win=123136 Len=1374 TSval=1407482344 TSecr=976590014"
"4875","206.959453","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=599470 Ack=59728 Win=123136 Len=1374 TSval=1407483270 TSecr=976590907"
"5054","207.759569","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=717634 Ack=59728 Win=123136 Len=1374 TSval=1407484069 TSecr=976591682 [TCP segment of a reassembled PDU]"
"5068","207.838275","3.218.170.225","10.110.30.14","TCP","1440","[TCP Previous segment not captured] 443  >  59347 [ACK] Seq=730000 Ack=59728 Win=123136 Len=1374 TSval=1407484148 TSecr=976591760"
"5096","207.918993","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=746488 Ack=59728 Win=123136 Len=1374 TSval=1407484229 TSecr=976591838"
"5137","208.112539","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=778090 Ack=59728 Win=123136 Len=1374 TSval=1407484423 TSecr=976592024"
"5163","208.236569","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=795952 Ack=59728 Win=123136 Len=1374 TSval=1407484546 TSecr=976592141"
"5384","208.971098","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=959458 Ack=59728 Win=123136 Len=1374 TSval=1407485277 TSecr=976592850"
"5475","209.264286","3.218.170.225","10.110.30.14","TCP","1440","[TCP Previous segment not captured] 443  >  59347 [ACK] Seq=1029532 Ack=59728 Win=123136 Len=1374 TSval=1407485574 TSecr=976593134"
"5570","209.541774","3.218.170.225","10.110.30.14","TCP","1440","[TCP Previous segment not captured] 443  >  59347 [ACK] Seq=1080370 Ack=59728 Win=123136 Len=1374 TSval=1407485852 TSecr=976593398"
"5727","210.193313","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=1191664 Ack=59728 Win=123136 Len=1374 TSval=1407486504 TSecr=976594028"
"5743","210.276247","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=1202656 Ack=59728 Win=123136 Len=1374 TSval=1407486586 TSecr=976594107"
"5757","210.335421","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=1215022 Ack=59728 Win=123136 Len=1374 TSval=1407486646 TSecr=976594165"
"5818","210.639947","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=1257616 Ack=59728 Win=123136 Len=1374 TSval=1407486951 TSecr=976594459"
"6216","211.610688","152.199.24.163","10.110.30.14","TCP","1440","[TCP Fast Retransmission] 443  >  59354 [ACK] Seq=57380 Ack=2477 Win=72192 Len=1374 TSval=1009847822 TSecr=976595389"
"6482","212.219640","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=1487074 Ack=59728 Win=123136 Len=1374 TSval=1407488530 TSecr=976595946"
"6782","213.312054","3.218.170.225","10.110.30.14","TCP","1440","[TCP Previous segment not captured] 443  >  59347 [ACK] Seq=1691800 Ack=59728 Win=123136 Len=1374 TSval=1407489622 TSecr=976596995"
"6829","213.589300","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=1719280 Ack=59728 Win=123136 Len=1374 TSval=1407489900 TSecr=976597265"
"7019","214.158446","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=1859428 Ack=59728 Win=123136 Len=1374 TSval=1407490469 TSecr=976597817"
"7082","214.436537","3.218.170.225","10.110.30.14","TCP","1440","[TCP Previous segment not captured] 443  >  59347 [ACK] Seq=1900648 Ack=59728 Win=123136 Len=1374 TSval=1407490747 TSecr=976598086"
"7327","215.148244","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=2039422 Ack=59728 Win=123136 Len=1374 TSval=1407491458 TSecr=976598768"
"7571","215.924546","3.218.170.225","10.110.30.14","TCP","1440","443  >  59347 [ACK] Seq=2183692 Ack=59728 Win=123136 Len=1374 TSval=1407492235 TSecr=976599512"
"8182","218.112809","23.40.60.153","10.110.30.14","HTTP","413","[TCP Previous segment not captured] Continuation"
